oi05dq4n0e0l;36
Human;a;3Y,2B,2Y,8Y,4B,4Y,;;0
Human;b;3Y,2B,2Y,8Y,4B,4Y,3Y,2B,2Y,8Y,4B,4Y,7B,9G,6R,1B,3R,;;0
Human;c;3Y,2B,2Y,8Y,4B,4Y,3Y,2B,2Y,8Y,4B,4Y,7B,9G,6R,1B,3R,3Y,2B,2Y,8Y,4B,4Y,7B,9G,6R,1B,3R,5G,1Y,3G,3B,8R,;;0
Human;d;3Y,2B,2Y,8Y,4B,4Y,3Y,2B,2Y,8Y,4B,4Y,7B,9G,6R,1B,3R,3Y,2B,2Y,8Y,4B,4Y,7B,9G,6R,1B,3R,5G,1Y,3G,3B,8R,3Y,2B,2Y,8Y,4B,4Y,7B,9G,6R,1B,3R,5G,1Y,3G,3B,8R,9B,8B,9R,7G,6B,;;0
Human;Jason;6B,;;0
Human;Cynthia;5Y,;;0
Human;Tony;2Y,;;0
Human;Aaron;8G,;;0
Human;Daniel;3R,;;0
Human;David;9B,;;0
